FlockID,Chicken,week,weight.kg
2,8,7,1.06
2,9,7,1
2,10,7,1
3,1,7,0.94
3,2,7,0.59
3,3,7,0.53
3,4,7,0.65
3,5,7,0.47
3,6,7,0.47
3,7,7,0.61
3,8,7,0.38
3,9,7,0.59
3,10,7,0.73
4,1,7,0.59
4,2,7,0.71
4,3,7,0.47
4,4,7,0.59
4,5,7,0.47
4,6,7,0.59
4,7,7,0.83
4,8,7,0.47
4,9,7,0.47
4,10,7,0.71
5,1,7,0.86
5,2,7,0.98
5,3,7,0.99
5,4,7,0.79
5,5,7,1.01
5,6,7,0.77
5,7,7,0.84
5,8,7,0.9
5,9,7,0.83
5,10,7,0.8
6,1,7,0.59
6,2,7,0.61
6,3,7,0.57
6,4,7,0.55
6,5,7,0.58
6,6,7,0.63
6,7,7,0.65
6,8,7,0.61
6,9,7,0.59
6,10,7,0.59
7,1,7,0.11
7,2,7,0.12
7,3,7,0.18
7,4,7,0.24
7,5,7,0.24
7,6,7,0.35
7,7,7,0.18
7,8,7,0.35
7,9,7,0.41
7,10,7,0.29
8,1,7,1.42
8,2,7,1.18
8,3,7,1.06
8,4,7,1.18
8,5,7,1.3
8,6,7,1.18
8,7,7,1.06
8,8,7,1.42
8,9,7,1.18
8,10,7,0.94
9,1,7,0.57
9,2,7,0.33
9,3,7,0.59
9,4,7,0.35
9,5,7,1.06
9,6,7,0.68
9,7,7,0.57
9,8,7,0.61
9,9,7,0.29
9,10,7,0.59
10,1,7,0.83
10,2,7,0.83
10,3,7,0.83
10,4,7,0.71
10,5,7,0.71
10,6,7,0.59
10,7,7,0.59
10,8,7,0.59
10,9,7,0.47
10,10,7,0.47
11,1,7,0.71
11,2,7,0.59
11,3,7,0.59
11,4,7,0.59
11,5,7,0.71
11,6,7,0.71
11,7,7,0.71
11,8,7,0.59
11,9,7,0.71
11,10,7,0.71
1,1,8,0.52
1,2,8,0.73
1,3,8,0.88
1,4,8,0.57
1,5,8,0.57
1,6,8,0.83
1,7,8,0.52
1,8,8,0.73
1,9,8,1.04
1,10,8,1.04
2,1,8,1.04
2,2,8,1.25
2,3,8,1.45
2,4,8,1.3
2,5,8,1.56
2,6,8,1.25
2,7,8,1.35
2,8,8,1.25
2,9,8,1.35
2,10,8,1.25
3,1,8,0.54
3,2,8,0.52
3,3,8,0.44
3,4,8,0.46
3,5,8,0.44
3,6,8,0.52
3,7,8,0.52
3,8,8,0.52
3,9,8,0.64
3,10,8,0.47
4,1,8,0.42
4,2,8,0.62
4,3,8,0.52
4,4,8,0.83
4,5,8,0.52
4,6,8,0.83
4,7,8,0.62
4,8,8,0.93
4,9,8,1.04
4,10,8,0.62
5,1,8,0.88
5,2,8,0.86
5,3,8,0.83
5,4,8,0.93
5,5,8,0.96
5,6,8,0.99
5,7,8,0.97
5,8,8,1
5,9,8,0.78
5,10,8,0.73
6,1,8,0.57
6,2,8,0.55
6,3,8,0.51
6,4,8,0.6
6,5,8,0.61
6,6,8,0.62
6,7,8,0.64
6,8,8,0.65
6,9,8,0.52
6,10,8,0.62
7,1,8,0.1
7,2,8,0.16
7,3,8,0.19
7,4,8,0.21
7,5,8,0.31
7,6,8,0.42
7,7,8,0.47
7,8,8,0.31
7,9,8,0.42
7,10,8,0.52
8,1,8,1.25
8,2,8,1.14
8,3,8,1.35
8,4,8,1.04
8,5,8,1.14
8,6,8,1.35
8,7,8,1.04
8,8,8,1.25
8,9,8,0.93
8,10,8,1.25
9,1,8,0.52
9,2,8,0.62
9,3,8,0.62
9,4,8,0.57
9,5,8,0.6
9,6,8,0.58
9,7,8,0.52
9,8,8,0.62
9,9,8,0.44
9,10,8,0.54
10,1,8,0.81
10,2,8,0.79
10,3,8,0.79
10,4,8,0.75
10,5,8,0.62
10,6,8,0.62
10,7,8,0.62
10,8,8,0.58
10,9,8,0.58
10,10,8,0.48
11,1,8,0.62
11,2,8,0.68
11,3,8,0.68
11,4,8,0.73
11,5,8,0.73
11,6,8,0.68
11,7,8,0.73
11,8,8,0.62
11,9,8,0.78
11,10,8,0.73
1,1,9,0.87
1,2,9,0.92
1,3,9,0.58
1,4,9,1.07
1,5,9,0.53
1,6,9,0.68
1,7,9,0.53
1,8,9,0.77
1,9,9,0.73
1,10,9,0.77
2,1,9,1.26
2,2,9,1.16
2,3,9,1.36
2,4,9,1.21
2,5,9,1.4
2,6,9,1.26
2,7,9,1.16
2,8,9,1.45
2,9,9,1.55
2,10,9,1.26
3,1,9,0.52
3,2,9,0.48
3,3,9,0.39
3,4,9,0.44
3,5,9,0.43
3,6,9,0.48
3,7,9,0.5
3,8,9,0.48
3,9,9,0.62
3,10,9,0.45
4,1,9,0.58
4,2,9,0.77
4,3,9,0.48
4,4,9,0.97
4,5,9,0.87
4,6,9,0.97
4,7,9,0.48
4,8,9,0.68
4,9,9,0.77
4,10,9,1.07
5,1,9,1.26
5,2,9,1.07
5,3,9,0.83
5,4,9,0.81
5,5,9,1.07
5,6,9,1.09
5,7,9,0.8
5,8,9,0.87
5,9,9,1.26
5,10,9,1.09
6,1,9,0.58
6,2,9,0.6
6,3,9,0.62
6,4,9,0.57
6,5,9,0.5
6,6,9,0.48
6,7,9,0.53
6,8,9,0.56
6,9,9,0.63
6,10,9,0.68
7,1,9,0.29
7,2,9,0.34
7,3,9,0.39
7,4,9,0.48
7,5,9,0.39
7,6,9,0.34
7,7,9,0.39
7,8,9,0.48
7,9,9,0.58
7,10,9,0.44
8,1,9,1.16
8,2,9,1.26
8,3,9,1.36
8,4,9,1.45
8,5,9,1.36
8,6,9,1.16
8,7,9,1.26
8,8,9,1.36
8,9,9,1.55
8,10,9,1.16
9,1,9,0.97
9,2,9,0.81
9,3,9,0.58
9,4,9,0.66
9,5,9,0.58
9,6,9,0.58
9,7,9,1.26
9,8,9,0.7
9,9,9,0.77
9,10,9,0.79
10,1,9,1.36
10,2,9,1.16
10,3,9,1.07
10,4,9,1.07
10,5,9,0.97
10,6,9,0.87
10,7,9,0.68
10,8,9,0.68
10,9,9,0.68
10,10,9,0.68
11,1,9,0.77
11,2,9,0.87
11,3,9,0.87
11,4,9,0.87
11,5,9,0.77
11,6,9,0.87
11,7,9,0.77
11,8,9,0.87
11,9,9,0.87
11,10,9,0.73
1,1,10,0.71
1,2,10,0.89
1,3,10,1.2
1,4,10,0.71
1,5,10,0.71
1,6,10,0.84
1,7,10,0.8
1,8,10,0.67
1,9,10,0.53
1,10,10,0.71
2,1,10,0.89
2,2,10,1.33
2,3,10,1.15
2,4,10,1.33
2,5,10,1.07
2,6,10,1.07
2,7,10,1.15
2,8,10,1.42
2,9,10,1.07
2,10,10,1.15
3,1,10,0.89
3,2,10,0.8
3,3,10,0.76
3,4,10,0.8
3,5,10,0.71
3,6,10,0.89
3,7,10,0.8
3,8,10,0.8
3,9,10,1.24
3,10,10,0.89
4,1,10,0.89
4,2,10,0.71
4,3,10,0.53
4,4,10,0.89
4,5,10,0.89
4,6,10,0.8
4,7,10,0.44
4,8,10,0.62
4,9,10,0.71
4,10,10,0.89
5,1,10,1.07
5,2,10,1.15
5,3,10,1.24
5,4,10,1.33
5,5,10,0.89
5,6,10,1.33
5,7,10,1.11
5,8,10,1.33
5,9,10,1.29
5,10,10,1.21
6,1,10,0.46
6,2,10,0.47
6,3,10,0.44
6,4,10,0.53
6,5,10,0.55
6,6,10,0.58
6,7,10,0.61
6,8,10,0.62
6,9,10,0.64
6,10,10,0.67
7,1,10,0.36
7,2,10,0.4
7,3,10,0.44
7,4,10,0.53
7,5,10,0.49
7,6,10,0.53
7,7,10,0.62
7,8,10,0.58
7,9,10,0.44
7,10,10,0.62
8,1,10,1.42
8,2,10,1.24
8,3,10,1.51
8,4,10,1.15
8,5,10,1.24
8,6,10,1.33
8,7,10,1.42
8,8,10,1.51
8,9,10,1.07
8,10,10,1.15
9,1,10,0.58
9,2,10,1.42
9,3,10,0.8
9,4,10,0.78
9,5,10,0.73
9,6,10,1.02
9,7,10,0.8
9,8,10,0.69
9,9,10,0.64
